date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:42	650/650	---MCZ	200	added ('OK')	text/plain	etag:W/%221762758787%22	https://www.nuedextahcp.com/robots.txt		(from )
18:38:42	77838/77838	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Nov%202025%2006:31:26%20GMT	https://www.nuedextahcp.com/	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/www.nuedextahcp.com/index.html	(from )
18:38:45	25886/25886	---M-Z	200	added ('OK')	application/javascript	etag:0x8DE2586DDA5F050	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.nuedextahcp.com/)
18:38:48	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2019%20May%202025%2011:53:00%20GMT	https://www.nuedextahcp.com/sites/g/files/qhldwo11926/files/favicon_4.ico	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/www.nuedextahcp.com/sites/g/files/qhldwo11926/files/favicon_4.ico	(from https://www.nuedextahcp.com/)
18:38:49	289485/289485	---MCZ	200	added ('OK')	application/x-javascript	etag:%224ac7e1e6c839fb77e413c3bd12f8ea40:1762791209.914785%22	http://assets.adobedtm.com/3f0d2e2dbd42/313fd7baa8af/launch-bacdce8b01b7.min.js	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/assets.adobedtm.com/3f0d2e2dbd42/313fd7baa8af/launch-bacdce8b01b7.min.js	(from https://www.nuedextahcp.com/)
18:38:49	1532/1532	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:46%20GMT	https://www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/core.css?t5hzes	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/coreb4a3.css	(from https://www.nuedextahcp.com/)
18:38:49	1470/1470	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:46%20GMT	https://www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/controlgroup.css?t5hzes	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/controlgroupb4a3.css	(from https://www.nuedextahcp.com/)
18:38:50	792/792	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:46%20GMT	https://www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/checkboxradio.css?t5hzes	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/checkboxradiob4a3.css	(from https://www.nuedextahcp.com/)
18:38:50	1175/1175	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:46%20GMT	https://www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/resizable.css?t5hzes	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/resizableb4a3.css	(from https://www.nuedextahcp.com/)
18:38:51	1407/1407	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:46%20GMT	https://www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/button.css?t5hzes	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/buttonb4a3.css	(from https://www.nuedextahcp.com/)
18:38:51	1756/1756	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Jun%202025%2007:06:46%20GMT	https://www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/dialog.css?t5hzes	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/www.nuedextahcp.com/core/assets/vendor/jquery.ui/themes/base/dialogb4a3.css	(from https://www.nuedextahcp.com/)
18:38:52	825/825	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20May%202025%2006:17:18%20GMT	https://www.nuedextahcp.com/core/themes/stable9/css/core/components/progress.module.css?t5hzes	C:/Users/CU636RF/Downloads/MySitenuedextahcp/MySitenuedextahcp/www.nuedextahcp.com/core/themes/stable9/css/core/components/progress.moduleb4a3.css	(from https://www.nuedextahcp.com/)
